,Title,Year,Release Date,Rating,Num Raters,Popularity,Runtime (hrs),Budget ($),Revenue ($),Profit ($),Genres,Actors,Keywords,Production Companies,Countries
16,8 Mile,2002,2002-11-08,7.1,5889,32.419,1.85,41000000,242875078,201875078.0,"['Music', 'Drama']","['Eminem', 'Mekhi Phifer', 'Brittany Murphy', 'Kim Basinger', 'Michael Shannon', 'Evan Jones', 'Taryn Manning', 'Anthony Mackie', ""De'Angelo Wilson"", 'Omar Benson Miller', 'Eugene Byrd', 'Xzibit', 'Proof', 'Chloe Greenfield', 'Brandon T. Jackson']","['Individual', 'Street Gang', 'Adolescence', 'Rap Music', 'Hip-Hop', 'Rhyme Battle', 'Trailer Park', 'Ghetto', 'Rapper', 'Ethnic Stereotype', 'Single', 'Detroit, Michigan', 'Battle Rap']","['Mikona Productions GmbH & Co. KG', 'Imagine Entertainment']","['Germany', 'United States of America']"
17,Million Dollar Baby,2004,2004-12-15,8.0,7960,23.072,2.20,30000000,216763646,186763646.0,['Drama'],"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel', 'Mike Colter', 'Lucia Rijker', ""Brían F. O'Byrne"", 'Anthony Mackie', 'Margo Martindale', 'Riki Lindhome', 'Michael Peña', 'Benito Martinez', 'Bruce MacVittie', 'David Powledge', ""Joe D'Angerio"", 'Marcus Chait', 'Tom McCleister', 'Erica Grant', 'Naveen', 'Morgan Eastwood', 'Jamison Yang', 'Susan Krebs', 'V.J. Foster', 'Steven M. Porter', 'Ming Lo', 'Miguel Pérez', 'Jim Cantafio', 'Ted Grossman', 'Ned Eisenberg', 'Marco Rodríguez', 'Mark Thomason', 'Brian T. Finney', 'Spice Williams-Crosby', 'Kim Strauss', 'Kirsten Berman', 'Jimmy Alioto', 'Jason Williams', 'Nina Avetisova', 'Michael Bentt', 'Bruce Gerard Brown', 'McKay Stewart', 'Jude Ciccolella', 'Kimberly Estrada', 'Sean LoGrasso', 'Maher McClung', 'Michael Saglimbeni', ""Sean O'Kane"", 'Vladimir Rajčić', 'Marty Sammon', 'Robert Maron', ""Rosine 'Ace' Hatem"", 'Boni Yanagisawa', 'Christina Cox', 'Mimi Lesseos', 'Bridgett Riley']","['Transporter', 'Suicide Attempt', 'Fight', 'Strong Woman', 'Boxer', 'Dying And Death', 'Stroke Of Fate', 'Training', 'Advancement', 'Tragedy', 'Female Protagonist', 'Brutality', 'Boxing Trainer', 'Unlikely Friendship', 'Female Boxing', 'Knockout', 'Euthanasia', 'Determination']","['Lakeshore Entertainment', 'Malpaso Productions', 'Epsilon Motion Pictures', 'Albert S. Ruddy Productions', 'Warner Bros. Pictures']",['United States of America']
18,American History X,1998,1998-07-01,8.4,9577,29.059,1.98,20000000,23875127,3875127.0,['Drama'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Elliott Gould', 'Ethan Suplee', 'Fairuza Balk', 'Christopher Masterson', 'Giuseppe Andrews', 'Stacy Keach', 'William Russ', 'Jennifer Lien', 'Avery Brooks', 'Guy Torry', 'Joe Cortese', 'Jason Bose Smith', 'Antonio David Lyons', 'Alex Sol', 'Keram Malicki-Sánchez', 'Michelle Christine White', 'Jonathan Fowler Jr.', 'Jordan Marder', 'Nicholas R. Oleson', 'Paul Le Mat', 'Thomas L. Bellissimo', 'Cherish Lee', 'Sam Vlahos', 'Tara Blanchard', 'Anne Lambton', 'Jim Norton', 'Steve Wolford', 'Richard Noyce', 'Danso Gordon', 'David Basulto', 'Alexis Rose Coen', 'Kiante Elam', 'Paul Hopkins', 'Keith Odett', 'Paul E. Short', 'Nigel Miguel', 'Darrell Britt', ""Robert 'Duckie' Carpenter"", 'Sydney ""Big Dawg"" Colston', 'John Embry', 'Maximillian Kesmodel', 'Allie Moss', 'Barbie Marie', 'Selwyn Ward', 'Sam Sarpong', 'Denney Pierce', 'Glendon Rich']","['Neo-Nazism', 'Prison', 'Skinhead', 'Sibling Relationship', 'Rape', 'Fascism', 'Brother', 'Jail', 'School', 'Swastika', 'Los Angeles, California', 'Family', 'Xenophobia', 'Interracial Friendship', 'Nazism']","['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']",['United States of America']
19,War of the Worlds,2005,2005-06-28,6.5,6876,34.812,1.95,132000000,603873119,471873119.0,"['Adventure', 'Thriller', 'Science Fiction']","['Tom Cruise', 'Dakota Fanning', 'Miranda Otto', 'Justin Chatwin', 'Tim Robbins', 'Rick Gonzalez', 'Yul Vazquez', 'Lenny Venito', 'Lisa Ann Walter', 'Ann Robinson', 'Gene Barry', 'David Alan Basche', 'Roz Abrams', 'Michael Brownlee', 'Camillia Sanes', 'Marlon Young', 'John Eddins', 'Peter Gerety', 'David Harbour', 'Miguel Antonio Ferrer', 'January LaVoy', 'Stephen Gevedon', 'Julie White', 'Marianne Ebert', 'Rafael Sardina', 'Amy Ryan', 'Ed Vassallo', 'Michael Arthur', 'Danny Hoch', 'Sharrieff Pugh', 'Erika LaVonn', 'Christopher Evan Welch', 'John Michael Bolger', 'Omar Jermaine', 'Robert Cicchini', 'Jim Hanna', 'Tracy Howe', 'Adam Lazarre-White', ""Vito D'Ambrosio"", 'Laura Zoe Quist', 'Ana Maria Quintana', 'Lorelei Llee', 'Mark Manley', 'John Scurti', 'Becky Ann Baker', 'Mariann Mayberry', 'Ty Simpkins', 'Jerry Walsh', 'Tommy Guiffre', 'Daniel Franzese', 'Ed Schiff', 'Ellen Barry', 'Amy Hohn', 'Dan Ziskie', 'David Conley', 'Daniel Eric Gold', 'Booker T. Washington', 'Maggie Lacey', 'Eric Zuckerman', 'Daniel A. Jacobs', 'Asha R. Nanavati', 'Joaquin Perez-Campbell', 'Dendrie Taylor', 'James DuMont', 'Travis Aaron Wade', 'Benny Ciaramello', 'Ricky Luna', 'Columbus Short', 'Kent Faulcon', 'Kevin Collins', 'Terry Thomas', 'Clay Bringhurst', 'Jorge-Luis Pallo', 'Suanne Spoke', 'Kirsten Nelson', 'Melody Garrett', 'Lauri Johnson', 'Takayo Fischer', 'Shanna Collins', 'Elizabeth Jayne Hong', 'Art Chudabala', 'Jeffrey Hutchinson', 'Dempsey Pappion', 'Chris Todd', 'Johnny Kastl', 'Juan Carlos Hernández', 'Bruce W. Derdoski Jr.', 'John N. Morales', 'Morgan Freeman', 'Peter E. Tasciotti', 'David Gere', 'James Boss', 'Martin Dew', 'Joe Duffy', 'Freddie Johnson', 'Anthony Jennings', 'Ingrid Johnson', 'Tanda Kerín', 'Victor Magnusson', ""Robert O'Connor"", 'Miho Nakamura', 'Channing Tatum']","['Post Traumatic Stress Disorder', 'New Jersey', 'Based On Novel Or Book', 'Underground', 'Airplane', 'Dystopia', 'Daughter', 'Remake', 'Alien', 'Survival', 'Apocalypse', 'Creature', 'Alien Invasion', 'Human Subjugation']","['Paramount', 'Amblin Entertainment', 'Cruise/Wagner Productions', 'DreamWorks Pictures']",['United States of America']
20,Memento,2000,2000-10-11,8.2,12264,21.165,1.88,9000000,39723096,30723096.0,"['Mystery', 'Thriller']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Russ Fega', 'Jorja Fox', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Thomas Lennon', 'Callum Keith Rennie', 'Kimberly Campbell', 'Marianne Muellerleile', 'Larry Holden']","['Insulin', 'Tattoo', 'Waitress', 'Amnesia', 'Drug Dealer', 'Motel', 'Manipulation', 'Insurance Salesman', 'Revenge', 'Murder', 'Flashback', 'Confusion', 'Memory Loss', 'Psychological Thriller', 'Whodunit', 'Los Angeles, California', 'Polaroid', 'Cult Film', 'Nonlinear Timeline', 'Individuality', 'Phone Call', 'Neo-Noir', 'Reverse Chronology']","['Summit Entertainment', 'Newmarket Capital Group', 'Team Todd', 'I Remember Productions']",['United States of America']
21,Blade Runner,1982,1982-06-25,7.9,11450,43.543,1.97,28000000,41722424,13722424.0,"['Science Fiction', 'Drama', 'Thriller']","['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh', 'Daryl Hannah', 'William Sanderson', 'Brion James', 'Joe Turkel', 'Joanna Cassidy', 'James Hong', 'Kevin Thompson', 'Hy Pyke', 'Kimiko Hiroshige', 'Ben Astar', 'Dawna Lee Heising', 'Alexis Rhee', 'Bob Okazaki', 'Morgan Paull', 'John Edward Allen', 'Carolyn DeMirjian', 'Judith Burnett', 'Leo Gorcey Jr.', 'Sharon Hesky', 'Kelly Hine', 'Tom Hutchinson', 'Charles Knapp', 'Rose Mascari', 'Jirô Okazaki', 'Steve Pope', 'Robert Reiter']","['Artificial Intelligence', 'Flying Car', 'Bounty Hunter', 'Android', 'Based On Novel Or Book', 'Dystopia', 'Genetics', 'Futuristic', 'Fugitive', 'Cyberpunk', 'Los Angeles, California', 'Cult Film', 'Tech Noir', 'Neo-Noir', 'Blade Runner']","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']","['United States of America', 'Hong Kong', 'United Kingdom']"
22,Nausicaä of the Valley of the Wind,1984,1984-03-11,7.9,2678,27.191,1.95,1000000,3301446,2301446.0,"['Adventure', 'Animation', 'Fantasy']","['Sumi Shimamoto', 'Ichirō Nagai', 'Gorō Naya', 'Youji Matsuda', 'Yoshiko Sakakibara', 'Iemasa Kayumi', 'Hisako Kyoda', 'Mahito Tsujimura', 'Mina Tominaga', 'Kōhei Miyauchi', 'Jôji Yanami', 'Minoru Yada', 'Rihoko Yoshida', 'Tetsuo Mizutori', 'Masako Sugaya', 'Takako Sasuga', 'Chika Sakamoto', 'TARAKO', 'Mugihito', 'Akiko Tsuboi', 'Takeki Nakamura', 'Takako Ôta', 'Bin Shimada', 'Shinji Nomura', 'Hisako Ayuhara', 'Hochu Otsuka', 'Glüme Harlow']","['Saving The World', 'Human Vs Nature', 'Fungus Spores   ', 'Future', 'Airplane', 'Post-Apocalyptic Future', 'Giant Insect', 'Toxic', 'Based On Manga', 'Ecology', 'Duringcreditsstinger', 'Anime']",['Topcraft'],['Japan']
23,Raiders of the Lost Ark,1981,1981-06-12,7.9,10094,29.537,1.92,18000000,389925971,371925971.0,"['Adventure', 'Action']","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies', 'Ronald Lacey', 'Wolf Kahler', 'Anthony Higgins', 'Denholm Elliott', 'Alfred Molina', 'Vic Tablian', 'Don Fellows', 'William Hootkins', 'George Harris', 'Fred Sorenson', 'Anthony Chinn', 'Eddie Tagoe', 'Bill Reimbold', 'Patrick Durkin', 'Matthew Scurfield', 'Malcolm Weaver', 'Sonny Caldinez', 'Pat Roach', 'Christopher Frederick', 'Tutte Lemkow', 'Ishaq Bux', 'Kiran Shah', 'Souad Messaoudi', 'Terry Richards', 'Steve Hanson', 'Frank Marshall', 'Martin Kreidt', 'John Rees', 'Tony Vogel', 'Ted Grossman', 'Vic Armstrong', 'Peter Diamond', 'Nick Gillard', 'Romo Gorrara', 'Rick Lester', 'Rocky Taylor', 'Reg Harding', 'Harry Fielder', 'Billy Horrigan', 'Terry Leonard', 'Sergio Mioni', 'Dennis Muren', 'Glenn Randall Jr.', 'Michael Sheard', 'Frank Welker']","['Saving The World', 'Riddle', 'Nepal', 'Himalaya', 'Cairo', 'Moses', 'Egypt', 'Whip', 'Treasure', 'Medallion', 'Leather Jacket', 'Nazi', 'Hat', 'Mediterranean', 'Ark Of The Covenant', 'Ten Commandments', 'Treasure Hunt', 'Excavation', 'Swastika', 'Archaeologist', 'Adventurer', 'Archeology', 'Religious History', '1930S']","['Paramount', 'Lucasfilm']",['United States of America']
24,Indiana Jones and the Temple of Doom,1984,1984-05-23,7.3,7420,33.777,1.97,28000000,333000000,305000000.0,"['Adventure', 'Action']","['Harrison Ford', 'Kate Capshaw', 'Ke Huy Quan', 'Amrish Puri', 'Roshan Seth', 'Philip Stone', 'Roy Chiao', 'David Yip', 'Ric Young', 'Chua Kah Joo', 'Rex Ngui', 'Philip Tan', 'Dan Aykroyd', 'Akio Mitamura', 'Michael Yama', 'D.R. Nanayakkara', 'Dharmadasa Kuruppu', 'Stany De Silva', 'Ruby de Mel', 'Denavaka Hamine', 'Iranganie Serasinghe', 'Dharshana Panangala', 'Raj Singh', 'Frank Olegario', 'Ahmed El Shenawi', 'Arthur F. Repola', 'Nizwar Karanj', 'Pat Roach', 'Moti Makan', 'Mellan Mitchell', 'Bhasker Patel', 'Arjun Pandher', 'Zia Gelani', 'Debbie Astell', 'Maureen Bacchus', 'Corinne Barton', 'Carol Beddington', 'Sharon Boone', 'Elizabeth Burville', 'Marisa Campbell', 'Christine Cartwright', 'Andrea Chance', 'Jan Colton', 'Louise Dalgleish', 'Lorraine Doyle', 'Vanessa Fieldwright', 'Brenda Glassman', 'Elaine Gough', 'Sue Hadleigh', 'Sarah-Jane Hassell', 'Samantha Hughes', 'Julie Kirk', 'Deirdre Laird', 'Vicki McDonald', 'Nina McMahon', 'Julia Marstand', 'Gaynor Martine', 'Lisa Mulidore', 'Dawn Reddall', 'Rebekkah Sekyi', 'Clare Smalley', 'Lee Sprintall', 'Jenny Turnock', 'Ruth Welby', 'Yash Agnihotri', 'Dickey Beer', 'Kenneth Coombs', 'Sid Ganis', 'Billy Horrigan', 'Kathleen Kennedy', 'Brad Kesten', 'Alex Klaus', 'Katie Leigh', 'Patrick Loh', 'George Lucas', 'Tress MacNeille', 'Frank Marshall', 'Anthony Powell', 'Steven Spielberg', 'Guy Standeven', 'Ron Taylor']","['Riddle', 'Treasure', 'Wind', 'Elephant', 'Heart', 'Crocodile', 'Bridge', 'Skeleton', 'Treasure Hunt', 'Mystery', 'Torture', 'India', 'Monkey', 'Archaeologist', 'Conveyor Belt', 'Child Driving Car', 'Mine Car', 'Rope Bridge', 'Splits', 'Adventurer', 'Archeology', '1930S']","['Paramount', 'Lucasfilm']",['United States of America']
25,Indiana Jones and the Last Crusade,1989,1989-05-24,7.8,8158,33.512,2.12,48000000,474171806,426171806.0,"['Adventure', 'Action']","['Harrison Ford', 'Sean Connery', 'Denholm Elliott', 'Alison Doody', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison', 'Richard Young', 'Alexei Sayle', 'Alex Hyde-White', 'Paul Maxwell', 'Isla Blair', 'Vernon Dobtcheff', 'J. J. Hardy', 'Bradley Gregg', ""Jeff O'Haco"", 'Vince Deadrick Sr.', 'Marc Miles', 'Ted Grossman', 'Tim Hiser', 'Larry Sanders', 'Will Miles', 'David Murray', 'Frederick Jaeger', 'Jerry Harte', 'Billy J. Mitchell', 'Martin Gordon', 'Paul Humpoletz', 'Tom Branch', 'Graeme Crowther', 'Luke Hanson', 'Chris Jenkinson', 'Nicola Scott', 'Louis Sheldon', 'Stefan Kalipha', 'Peter Pacey', 'Pat Roach', 'Suzanne Roquette', 'Eugene Lipinski', 'George Malpas', 'Julie Eccles', 'Nina Armstrong', 'Roy Beck', 'Hugh Elton', 'Albert Evansky', 'Nick Gillard', 'Ronald Lacey', 'Derek Lyons', 'Paul Markham', 'Lee Richards', 'Michael Sheard', 'Tip Tipping']","['Germany', 'Saving The World', 'Venice, Italy', 'Holy Grail', 'Library', 'Riddle', 'Parent Child Relationship', 'Whip', 'Treasure', 'Nazi', 'Entrapment', 'Crusader', 'Father', 'Treasure Hunt', 'Escape', 'Tank', 'Order Of The Templars', 'Desert', 'Archaeologist', 'Adventurer', 'Indiana Jones', 'Archeology', '1930S', 'Father Son Relationship']","['Paramount', 'Lucasfilm']",['United States of America']
26,Beverly Hills Cop,1984,1984-11-30,7.2,3202,18.301,1.75,14000000,316360478,302360478.0,"['Action', 'Comedy', 'Crime']","['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Lisa Eilbacher', 'Steven Berkoff', 'Jonathan Banks', 'Ronny Cox', 'Gilbert R. Hill', 'James Russo', 'Paul Reiser', 'Stephen Elliott', 'Bronson Pinchot', 'Michael Champion', 'Michael Gregory', 'Rick Overton', 'Damon Wayans', 'Art Kimbro', 'Joel Bailey', 'Gene Borkan', 'Frank Pesce', 'Alice Cadogan', 'Philip Levien', 'Karen Mayo-Chandler', 'Gerald Berns', 'William Wallace', 'Israel Juarbe', 'Randy Vasquez', 'Chuck Adamson', 'Chip Heller', 'Rex Ryon', 'Mike Pniewski', 'Douglas Warhit', 'Paul Drake', 'Tom Everett', 'Sally Kishbaugh', 'Barry Shade', 'Jack Heller', 'Michael Harrington', 'David Wells', 'Scott Murphy', 'Dennis Madden', 'John Achorn', 'John Pettis', 'Nicholas Shields', 'Carl Weintraub', 'Anthony De Fonte', 'Darwyn Carson', 'Mark E. Corry', 'Thomas J. Hageboeck']","['California', 'Showdown', 'Undercover', 'Strip Club', 'Investigation', 'Police', 'Smuggling (Contraband)', 'Swimming Pool', 'Gunfight', 'Mansion', 'Los Angeles, California', 'Foot Chase', 'Art Gallery', 'Detroit, Michigan', 'Warehouse', 'Beverly Hills', 'Buddy Cop', 'Buddy Comedy', 'Country Club', 'Maverick Cop', 'Damsel In Distress', 'Bar Fight']","['Paramount', 'Eddie Murphy Productions', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America']
27,Armageddon,1998,1998-07-01,6.8,6593,44.861,2.52,140000000,553799566,413799566.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler', 'Will Patton', 'Steve Buscemi', 'William Fichtner', 'Owen Wilson', 'Michael Clarke Duncan', 'Peter Stormare', 'Ken Hudson Campbell', 'Jessica Steen', 'Keith David', 'Chris Ellis', 'Jason Isaacs', 'Grayson McCouch', 'Clark Heathcliffe Brolly', 'Marshall R. Teague', 'Anthony Guidera', 'Greg Collins', 'J. Patrick McCormack', 'Ian Quinn', 'Christopher J. Worret', 'Adam Smith', 'John Mahon', 'Grace Zabriskie', 'K.C. Leomiti', 'Eddie Griffin', 'Deborah Nishimura', 'Albert Wong', 'Jim Ishida', 'Stanley Anderson', 'James Harper', 'Ellen Cleghorne', 'Udo Kier', 'John Aylward', 'Mark Curry', 'Seiko Matsuda', 'Harry Humphries', 'Dyllan Christopher', 'Judith Hoag', 'Sage Allen', 'Steven Ford', 'Christian Clemenson', 'Andy Ryan', 'Duke Valenti', 'Michael Taliferro', 'Billy Devlin', 'Kathleen Matthews', 'J.C. Hayward', 'Andrew Glassman', 'Shawnee Smith', 'Dwight Hicks', 'Odile Corso', 'Vic Manni', 'Jim Maniaci', 'Layla Roberts', 'Joe Allen', 'Bodhi Elfman', 'Alexander Johnson', 'Kathy Neff', 'Victor Vinson', 'Joseph Patrick Kelly', 'Peter White', 'Rudy Mettia', 'Frank Van Keeken', 'Frederick Weller', 'Jeff Austin', 'Googy Gress', 'Matt Malloy', 'H. Richard Greene', 'Brian Brophy', 'Peter Murnik', 'Brian Hayes Currie', 'Andy Milder', 'Michael Kaplan', 'Patrick Richwood', 'Brian Mulligan', 'John H. Johnson', 'Charles Stewart', 'Scarlet Forge', 'Michael Tuck', 'Patrick Lander', 'Anne Varèze', 'Fritz Mashimo', 'Dina Morrone', 'Ruben Olague', 'Wolfgang Muser', 'Jim Fitzpatrick', 'Franky', 'Charlton Heston', 'Michael Bay', 'Lawrence Tierney', 'Mark Boone Junior']","['Saving The World', 'Paris, France', 'Moon', 'Washington Dc, Usa', 'Loss Of Loved One', 'Cataclysm', 'Asteroid', 'Self Sacrifice', 'Nasa', 'Space Marine', 'U.S. Air Force', 'Race Against Time', 'Natural Disaster', 'Daughter', 'Space', 'End Of The World', 'Disaster', 'Wedding', 'Astronaut', 'Duringcreditsstinger', 'Disaster Movie', 'Heroic Mission', 'Space Centre', 'Daring Rescues']","['Touchstone Pictures', 'Jerry Bruckheimer Films', 'Valhalla Motion Pictures']",['United States of America']
28,Beverly Hills Cop II,1987,1987-05-18,6.4,1875,16.27,1.72,28000000,299965036,271965036.0,"['Action', 'Comedy', 'Crime']","['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Ronny Cox', 'Paul Reiser', 'Gilbert R. Hill', 'Brigitte Nielsen', 'Dean Stockwell', 'Jürgen Prochnow', 'Allen Garfield', 'Paul Guilfoyle', 'Robert Ridgely', 'Chris Rock', 'Gilbert Gottfried', ""Brian O'Connor"", 'Alice Adair', 'Eugene Butler', 'Peggy McIntaggart', 'Darryl Henriques', ""Tom 'Tiny' Lister Jr."", 'Rebecca Ferratti', 'Kymberly Herrin', 'Hugh Hefner', 'Carrie Leigh', 'Teal Roberts', 'Ola Ray', 'Kopi Sotiropulos', 'Rudy Ramos', 'Susan Lentini', 'Glenn Withrow', 'Stephen Liska', 'Tom Bower', 'Valerie Wildman', 'Frank Pesce', 'Vic Manni', 'Sheri Levinsky', 'Uncle Ray Murphy', 'Todd Susman', ""Anthony D'Andrea"", 'Robert Pastorelli', 'Richard Tienken', 'Larry Carroll', 'Gary Carlos Cervantes', 'Michael DeMarlo', 'Dana Gladstone', 'Richmond Harrison', 'John Hostetter', 'Ed Pansullo', 'Ritch Shydner', 'John Lisbon Wood', 'Carl Bringas', 'Joe Duquette', 'Michael Hehr', 'Sam Sako', 'Michael Francis Kelly', 'William Lamar', 'Christopher R. Adams', 'Danny Nero', 'Devin Bartlett', ""Dayna O'Brien"", 'Eugene Mounts', 'Everett Sherman Jr.', 'Catrin Cole', 'Alana Soares', 'Venice Kong', 'Luann Lee', 'Kymberly Paige', 'Leilani Soares', 'Anne Lammot', 'Pamela Santini', 'Sarah Quick', 'Marlenne Kingsland', 'Monet Swann', 'Natalie Smith', 'Kari Whitman']","['Arms Smuggling', 'Detective', 'Intensive Care', 'Undercover', 'Strip Club', 'Armored Car', 'Investigation', 'Police', 'Swimming Pool', 'Sequel', 'Shootout', 'Gunfight', 'Los Angeles, California', 'Explosion', 'Detroit, Michigan', 'Horse Track', 'Beverly Hills', 'Buddy Cop', 'Oil Field', 'Cement Truck', 'Playboy Mansion', 'Shooting Range', 'Superdetective']","['Eddie Murphy Productions', 'Paramount', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America']
29,Gladiator,2000,2000-05-01,8.2,15132,41.281,2.58,103000000,465361176,362361176.0,"['Action', 'Drama', 'Adventure']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana', 'Ralf Moeller', 'Tommy Flanagan', 'Spencer Treat Clark', 'David Hemmings', 'Sven-Ole Thorsen', 'Giannina Facio', 'Alun Raglan', 'Giorgio Cantarini', 'David Bailie', 'Omid Djalili', 'Nicholas McGaughey', 'Tony Curran', 'Mark Lewis', 'John Quinn', 'Al Hunter Ashton', 'Allan Corduner', 'Michael Mellinger', 'Said Amel', 'Adam Levy', 'Gilly Gilchrist', 'David Nicholls', 'Malcolm Ellul', 'Ray Mangion', 'João Costa Menezes', 'Mike Mitchell', 'Norman Campbell Rees', 'Steve Saunders', 'Brian Smyj', 'Chick Allen', 'Billy Dowd']","['Rome, Italy', 'Parent Child Relationship', 'Gladiator', 'Arena', 'Senate', 'Roman Empire', 'Emperor', 'Slavery', 'Ancient Rome', 'Epic', 'Revenge', 'Battlefield', 'Slave Auction', 'Historical Fiction', 'Ancient World', 'Combat', 'Chariot', 'Philosopher', 'Barbarian Horde', '2Nd Century', 'Successor', 'Commodus', 'Maximus']","['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz', 'DreamWorks Pictures']","['United Kingdom', 'United States of America']"
30,"Lock, Stock and Two Smoking Barrels",1998,1998-08-28,8.2,5427,9.377,1.75,1350000,28356188,27006188.0,"['Comedy', 'Crime']","['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham', 'Vinnie Jones', 'Sting', 'Steven Mackintosh', 'Nicholas Rowe', 'Lenny McLean', 'P.H. Moriarty', 'Frank Harper', 'Huggy Leaver', 'Stephen Marcus', 'Peter McNicholl', 'Nick Marcq', 'Tony McMahon', 'Steve Sweeney', 'Charles Forbes', 'Vas Blackwood', 'Jake Abraham', 'Victor McGuire', 'Danny John-Jules', ""Elwin 'Chopper' David"", 'Vera Day', 'Rob Brydon', 'Alan Ford', 'Andrew Tiernan', 'Matthew Vaughn', 'Richard Vanstone', 'Jimmy Flint']","['Ambush', 'Alcohol', 'Shotgun', 'Tea', 'Joint', 'Machismo', 'Cocktail', 'Rifle', 'Marijuana', 'Pot Smoking', 'Hatchet', 'Antique', 'Cardsharp', 'Anger', 'Cult Film', 'Carjacking', 'Piano', 'Strip Show', 'High Stakes']","['Summit Entertainment', 'The Steve Tisch Company', 'SKA Films', 'PolyGram Filmed Entertainment', 'HandMade Films']",['United Kingdom']
31,Léon: The Professional,1994,1994-09-14,8.3,12094,42.713,1.85,16000000,45284974,29284974.0,"['Crime', 'Drama', 'Action']","['Jean Reno', 'Natalie Portman', 'Gary Oldman', 'Danny Aiello', 'Peter Appel', 'Michael Badalucco', 'Ellen Greene', 'Elizabeth Regen', 'Carl J. Matusovich', 'Eric Challier', 'Willi One Blood', 'Don Creech', 'Keith A. Glascoe', 'Jernard Burks', 'Matt De Matt', 'Frank Senger', 'Stuart Rudin', 'Lucius Wyatt Cherokee', 'Maïwenn', 'Luc Bernard', 'Joseph Malerba', 'Adam Busch', 'Jessie Keosian', 'George Martin', 'Alex Dezen', 'Michael Mundra', 'Kent Broadhurst', 'Tommy Hollis', 'Peter Linari', 'Betty Miller', 'Arsène Jiroyan', 'Geoffrey Bateman', 'Peter Vizard', 'David W. Butler', 'Robert LaSardo', 'Steve Gonnelo', 'William James Stiggers Jr.', 'Sonny Zito', 'Randy Pearlstein', 'Jeff McBride', 'Fred Fischer', 'Cary Wong', 'Mario Todisco', 'Samy Naceri', 'Christophe Gautier', 'Junior Almeida', 'David Gregg', 'Michel Montanary', 'Hervé Husson', 'Didier Legros', 'Marc Andréoni', 'Gilles Kleber', 'Jean-Hugues Anglade', 'Michael Wehrhahn']","['New York City', 'Corruption', 'Loss Of Loved One', 'Assassin', 'Police Brutality', 'Hotel Room', 'S.W.A.T.', 'Immigrant', 'Hitman', 'Training', 'Revenge', 'Murder', 'Loneliness', 'Neighbor', 'Tragic Love', 'Cult Film', 'Neo-Noir', 'Complex Relationship']","['Gaumont', 'Les Films du Dauphin']","['United States of America', 'France']"
